hue_circ_corr,label,method,pr,reml,twonn
0.6599,base_endpretrain,pca_top2,18.22,,20.32
0.6599,base_endpretrain,pca_bestplane(oracle),18.22,,20.32
0.3738,base_endpretrain,isomap_2d,18.22,,20.32
0.3076,base_endpretrain,lle_2d,18.22,,20.32
0.6592,base_endpretrain,diffusion_2d,18.22,,20.32
0.3328,base_endpretrain,umap_2d,18.22,,20.32
0.2165,base_endpretrain,gamfit_line,18.22,397.11,20.32
0.2271,base_endpretrain,gamfit_circle,18.22,442.33,20.32
0.3058,base_endpretrain,gamfit_plane,18.22,377.2,20.32
0.6723,RL31_final,pca_top2,19.69,,22.59
0.6786,RL31_final,pca_bestplane(oracle),19.69,,22.59
0.1217,RL31_final,isomap_2d,19.69,,22.59
0.2968,RL31_final,lle_2d,19.69,,22.59
0.6898,RL31_final,diffusion_2d,19.69,,22.59
0.5645,RL31_final,umap_2d,19.69,,22.59
0.195,RL31_final,gamfit_line,19.69,408.62,22.59
0.2529,RL31_final,gamfit_circle,19.69,472.61,22.59
0.4927,RL31_final,gamfit_plane,19.69,404.92,22.59
