day,template_idx,plane_x,plane_y,axis3
Monday,0,-8.5138,7.3637,-8.6000
Tuesday,0,-13.2313,-1.1507,9.1172
Wednesday,0,-12.1662,-12.7507,9.1247
Thursday,0,-10.1048,-20.2993,-6.8750
Friday,0,1.3193,-23.6600,-10.3269
Saturday,0,22.5332,-17.6219,12.9967
Sunday,0,20.4146,3.3845,-4.8981
Monday,1,-6.4310,10.1848,-8.5791
Tuesday,1,-14.0808,2.0212,10.2989
Wednesday,1,-14.8026,-8.3994,10.7650
Thursday,1,-10.8987,-15.6101,-4.9544
Friday,1,0.7239,-20.1101,-7.7117
Saturday,1,18.1008,-14.6651,12.4412
Sunday,1,16.7414,5.6337,-3.3370
Monday,2,3.7090,34.9885,-3.7175
Tuesday,2,-3.4240,30.4744,12.1803
Wednesday,2,-5.0792,19.9661,11.6418
Thursday,2,-1.0369,13.0268,-2.8720
Friday,2,8.8426,8.2986,-5.8097
Saturday,2,23.0268,15.2455,12.3037
Sunday,2,21.1015,33.7035,-1.3722
Monday,3,-7.8193,10.2447,-10.0494
Tuesday,3,-15.3142,2.6357,7.0743
Wednesday,3,-15.3058,-7.6208,6.9190
Thursday,3,-10.0990,-15.6382,-8.3786
Friday,3,-0.4421,-21.5935,-10.8330
Saturday,3,14.4212,-13.0457,10.0082
Sunday,3,14.6860,7.8975,-4.8729
Monday,4,-6.2852,23.3849,-7.1537
Tuesday,4,-13.1974,12.6955,10.3136
Wednesday,4,-12.6926,2.9761,9.5404
Thursday,4,-9.9335,-4.6706,-6.0060
Friday,4,3.2330,-11.6538,-9.7629
Saturday,4,23.5037,-2.9236,13.2849
Sunday,4,22.8477,19.5487,-1.9889
Monday,5,-3.2203,7.6021,-9.1308
Tuesday,5,-9.4170,1.2973,6.1845
Wednesday,5,-12.1072,-8.9661,6.5516
Thursday,5,-8.3584,-17.0727,-7.4691
Friday,5,1.3451,-20.8944,-11.3757
Saturday,5,20.5796,-11.0879,7.7575
Sunday,5,21.1054,7.2782,-5.7720
Monday,6,-1.7889,27.3655,-4.6106
Tuesday,6,-6.9555,21.7171,9.3844
Wednesday,6,-7.9801,12.1191,9.6558
Thursday,6,-4.9149,5.1004,-4.6254
Friday,6,4.4765,0.7185,-8.5983
Saturday,6,12.8727,7.7325,7.8545
Sunday,6,15.8579,22.5070,-3.7421
Monday,7,-14.2015,10.1366,-10.0560
Tuesday,7,-20.0286,1.2314,7.9458
Wednesday,7,-19.6544,-11.4603,6.3812
Thursday,7,-15.7233,-18.7646,-9.5186
Friday,7,-3.2061,-25.6025,-11.9948
Saturday,7,15.5096,-15.8170,11.5742
Sunday,7,15.3482,6.7047,-6.4670
Monday,8,-6.3956,7.4441,-10.2492
Tuesday,8,-13.5493,-0.1922,7.2137
Wednesday,8,-13.4041,-10.6065,7.3517
Thursday,8,-10.6285,-17.1155,-7.4541
Friday,8,0.1351,-21.7630,-11.2739
Saturday,8,21.1191,-15.9008,10.3634
Sunday,8,18.8383,4.0280,-5.7916
